name,url
hash,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/0023-fe0f-20e3.png
keycap_star,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/002a-fe0f-20e3.png
zero,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/0030-fe0f-20e3.png
one,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/0031-fe0f-20e3.png
two,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/0032-fe0f-20e3.png
three,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/0033-fe0f-20e3.png
four,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/0034-fe0f-20e3.png
five,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/0035-fe0f-20e3.png
six,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/0036-fe0f-20e3.png
seven,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/0037-fe0f-20e3.png
eight,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/0038-fe0f-20e3.png
nine,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/0039-fe0f-20e3.png
copyright,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/00a9-fe0f.png
registered,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/00ae-fe0f.png
mahjong,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f004.png
black_joker,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f0cf.png
a,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f170-fe0f.png
b,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f171-fe0f.png
o2,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f17e-fe0f.png
parking,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f17f-fe0f.png
ab,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f18e.png
cl,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f191.png
cool,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f192.png
free,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f193.png
id,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f194.png
new,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f195.png
ng,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f196.png
ok,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f197.png
sos,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f198.png
up,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f199.png
vs,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f19a.png
flag-ac,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1e8.png
flag-ad,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1e9.png
flag-ae,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1ea.png
flag-af,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1eb.png
flag-ag,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1ec.png
flag-ai,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1ee.png
flag-al,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1f1.png
flag-am,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1f2.png
flag-ao,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1f4.png
flag-aq,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1f6.png
flag-ar,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1f7.png
flag-as,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1f8.png
flag-at,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1f9.png
flag-au,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1fa.png
flag-aw,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1fc.png
flag-ax,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1fd.png
flag-az,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e6-1f1ff.png
flag-ba,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1e6.png
flag-bb,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1e7.png
flag-bd,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1e9.png
flag-be,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1ea.png
flag-bf,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1eb.png
flag-bg,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1ec.png
flag-bh,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1ed.png
flag-bi,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1ee.png
flag-bj,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1ef.png
flag-bl,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1f1.png
flag-bm,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1f2.png
flag-bn,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1f3.png
flag-bo,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1f4.png
flag-bq,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1f6.png
flag-br,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1f7.png
flag-bs,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1f8.png
flag-bt,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1f9.png
flag-bv,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1fb.png
flag-bw,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1fc.png
flag-by,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1fe.png
flag-bz,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1ff.png
flag-ca,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1e6.png
flag-cc,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1e8.png
flag-cd,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1e9.png
flag-cf,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1eb.png
flag-cg,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1ec.png
flag-ch,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1ed.png
flag-ci,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1ee.png
flag-ck,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1f0.png
flag-cl,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1f1.png
flag-cm,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1f2.png
